City,State,Lat,Lng,Date,MannerOfDeath,Armed,Age,Gender,Race,MentalIllness,ThreatLevel,Flee,BodyCamera,StateName,Year
Smyrna,ME,46.16005,-68.10141,2015-02-09,shot,gun,61,Male,"White, non-Hispanic",True,undetermined,Not fleeing,False,Maine,2015
La Paz,AZ,33.57697,-114.24189,2015-02-28,shot,gun,37,Female,"White, non-Hispanic",False,attack,Car,False,Arizona,2015
Coal,OK,35.18899,-94.66078,2015-03-20,shot,gun,34,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Oklahoma,2015
Kings,CA,36.21274,-121.12603,2015-04-26,shot,gun,76,Male,"White, non-Hispanic",False,attack,Not fleeing,False,California,2015
Ellis,TX,26.43341,-97.78706,2015-06-03,shot,gun,18,Male,Hispanic,True,attack,Car,False,Texas,2015
York,VA,37.14431,-76.38328,2015-06-24,shot,gun,26,Male,"Black, non-Hispanic",False,attack,Not fleeing,True,Virginia,2015
Maui,HI,20.69871,-156.42664,2015-08-05,shot,gun,39,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Hawaii,2015
Washington,AL,32.33347,-86.35219,2015-09-19,shot,gun,57,Male,"White, non-Hispanic",True,attack,Not fleeing,True,Alabama,2015
Barrow,GA,33.99178,-83.74434,2015-10-16,shot,gun,45,Male,Unknown,False,attack,Not fleeing,False,Georgia,2015
Leon,TX,29.49523,-98.61863,2015-11-16,shot,vehicle,28,Male,"White, non-Hispanic",False,undetermined,Car,False,Texas,2015
Berrien,MI,41.94643,-86.3389,2015-11-18,shot,gun,44,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Michigan,2015
Paulding,GA,33.81149,-84.82216,2015-11-20,shot,gun,39,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Georgia,2015
Canaan,PA,40.28981,-76.26023,2015-12-21,shot,gun,21,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Pennsylvania,2015
Geneva,WI,42.59168,-88.43343,2016-01-08,shot,knife,26,Male,"White, non-Hispanic",False,other,Not fleeing,False,Wisconsin,2016
Park,CO,39.47388,-105.08526,2016-06-30,shot,gun,24,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Colorado,2016
Lake Asbury,FL,30.04913,-81.82149,2016-07-16,shot,gun,31,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Florida,2016
Scott,VA,36.72039,-81.94151,2016-08-03,shot,gun,69,Male,"White, non-Hispanic",False,other,Car,False,Virginia,2016
Ellis,TX,26.43341,-97.78706,2016-09-05,shot,gun,36,Male,"Black, non-Hispanic",False,attack,Car,False,Texas,2016
Wood,TX,29.66939,-100.01229,2016-09-19,shot,gun,56,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Texas,2016
Ventnor,NJ,39.34039,-74.47737,2016-10-03,shot,gun,49,Male,"White, non-Hispanic",False,other,Not fleeing,False,New Jersey,2016
Forks,PA,39.86092,-78.40863,2016-12-09,shot,machete and gun,35,Male,"White, non-Hispanic",True,other,Not fleeing,False,Pennsylvania,2016
Loxahatchee,FL,26.68368,-80.27977,2016-12-31,shot,knife,46,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Florida,2016
Algoma,MI,43.16056,-85.55889,2017-01-24,shot,unarmed,30,Male,"White, non-Hispanic",True,attack,Not fleeing,False,Michigan,2017
Geneva,WI,42.59168,-88.43343,2017-02-02,shot,toy weapon,26,Male,"White, non-Hispanic",False,other,Not fleeing,False,Wisconsin,2017
Howland,OH,41.25117,-80.74536,2017-02-07,shot,gun,34,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Ohio,2017
Eldorado,NM,35.52642,-105.93474,2017-04-29,shot,vehicle,33,Male,Hispanic,False,attack,Not fleeing,True,New Mexico,2017
Dalton,IL,39.71198,-88.80452,2017-08-08,shot,gun,17,Male,"Black, non-Hispanic",False,other,Other,False,Illinois,2017
Crenshaw,AL,32.29986,-87.61584,2017-08-17,shot,undetermined,65,Male,"White, non-Hispanic",False,undetermined,Not fleeing,False,Alabama,2017
Thomas,GA,31.53545,-83.98963,2017-10-04,shot,gun,37,Male,"Black, non-Hispanic",False,attack,Not fleeing,False,Georgia,2017
Fort Smith,OK,35.39704,-94.439940000000007,2017-10-20,shot,knife,30,Male,"White, non-Hispanic",False,attack,Not fleeing,True,Oklahoma,2017
Eaton,MI,42.5092,-84.65581,2017-11-28,shot,vehicle,64,Male,"White, non-Hispanic",False,attack,Car,False,Michigan,2017
Miami,OH,39.16506,-84.7205,2017-12-20,shot,toy weapon,33,Male,"White, non-Hispanic",True,other,Not fleeing,False,Ohio,2017
Adams,CO,39.82665,-104.92887,2018-01-16,shot and Tasered,unarmed,27,Male,"White, non-Hispanic",False,attack,Not fleeing,False,Colorado,2018
